Education,Marital_Status,Income,Recency,NumWebVisitsMonth,Complain,Response,Age,Children,TotalSpending,NumOfTransactions,NumOfAcceptedCmp,CVR,AgeGroup,IncomeGroup,SpendingGroup,TransactionGroup
S1,Lajang,58138000.0,58,7,0,1,65,0,1617000,25,0,0.14285714285714285,61-70,50M-60M,1.5M-2M,20-30
S1,Lajang,46344000.0,38,5,0,0,68,2,27000,6,0,0.0,61-70,40M-50M,0-0.5M,0-10
S1,Bertunangan,71613000.0,26,4,0,0,57,0,776000,21,0,0.0,51-60,70M-80M,0.5M-1M,20-30
S1,Bertunangan,26646000.0,26,6,0,0,38,1,53000,8,0,0.0,31-40,20M-30M,0-0.5M,0-10
S3,Menikah,58293000.0,94,5,0,0,41,1,422000,19,0,0.0,41-50,50M-60M,0-0.5M,10-20
S2,Bertunangan,62513000.0,16,6,0,0,55,1,716000,22,0,0.0,51-60,60M-70M,0.5M-1M,20-30
S1,Cerai,55635000.0,34,6,0,0,51,1,590000,21,0,0.0,51-60,50M-60M,0.5M-1M,20-30
S3,Menikah,33454000.0,32,8,0,0,37,1,169000,10,0,0.0,31-40,30M-40M,0-0.5M,0-10
S3,Bertunangan,30351000.0,19,9,0,1,48,1,46000,6,0,0.1111111111111111,41-50,30M-40M,0-0.5M,0-10
S3,Bertunangan,5648000.0,68,20,0,0,72,2,49000,2,1,0.0,71-80,0M-10M,0-0.5M,0-10
S1,Menikah,51381500.0,11,7,0,0,39,1,19000,4,0,0.0,31-40,50M-60M,0-0.5M,0-10
SMA,Menikah,7500000.0,59,8,0,0,46,0,61000,6,0,0.0,41-50,0M-10M,0-0.5M,0-10
S1,Cerai,63033000.0,82,2,0,0,63,0,1102000,16,0,0.0,61-70,60M-70M,1M-1.5M,10-20
S2,Cerai,59354000.0,53,6,0,0,70,2,310000,15,0,0.0,61-70,50M-60M,0-0.5M,10-20
S1,Menikah,17323000.0,38,8,0,0,35,0,46000,5,0,0.0,31-40,10M-20M,0-0.5M,0-10
S3,Lajang,82800000.0,23,3,0,1,76,0,1315000,26,2,0.3333333333333333,71-80,80M-90M,1M-1.5M,20-30
S1,Menikah,41850000.0,51,8,0,0,42,2,96000,9,0,0.0,41-50,40M-50M,0-0.5M,0-10
S1,Bertunangan,37760000.0,20,7,0,0,76,0,317000,13,0,0.0,71-80,30M-40M,0-0.5M,10-20
S2,Menikah,76995000.0,91,5,0,0,73,1,1782000,26,1,0.0,71-80,70M-80M,1.5M-2M,20-30
D3,Lajang,33812000.0,86,6,0,0,37,1,133000,8,0,0.0,31-40,30M-40M,0-0.5M,0-10
S1,Menikah,37040000.0,41,8,0,0,40,0,316000,12,0,0.0,31-40,30M-40M,0-0.5M,10-20
S3,Menikah,58607000.0,63,8,0,0,73,1,972000,17,1,0.0,71-80,50M-60M,0.5M-1M,10-20
S3,Menikah,65324000.0,0,4,0,0,68,1,544000,20,0,0.0,61-70,60M-70M,0.5M-1M,10-20
S1,Bertunangan,40689000.0,69,8,0,0,71,1,444000,20,0,0.0,71-80,40M-50M,0-0.5M,10-20
S1,Lajang,18589000.0,89,7,0,0,53,0,75000,8,0,0.0,51-60,10M-20M,0-0.5M,0-10
S1,Menikah,53359000.0,4,7,0,0,46,2,257000,14,0,0.0,41-50,50M-60M,0-0.5M,10-20
S1,Lajang,51381500.0,19,1,0,0,36,1,637000,27,0,0.0,31-40,50M-60M,0.5M-1M,20-30
S1,Menikah,38360000.0,26,3,0,0,33,1,131000,9,0,0.0,31-40,30M-40M,0-0.5M,0-10
S3,Menikah,84618000.0,96,2,0,0,57,0,1672000,26,1,0.0,51-60,80M-90M,1.5M-2M,20-30
S2,Cerai,10979000.0,34,5,0,0,33,0,30000,8,0,0.0,31-40,10M-20M,0-0.5M,0-10
S2,Bertunangan,38620000.0,56,3,0,0,59,0,318000,11,0,0.0,51-60,30M-40M,0-0.5M,10-20
S1,Bertunangan,40548000.0,31,5,0,0,52,1,120000,9,1,0.0,51-60,40M-50M,0-0.5M,0-10
S3,Cerai,46610000.0,8,6,0,1,70,2,302000,17,0,0.16666666666666666,61-70,40M-50M,0-0.5M,10-20
S2,Menikah,68657000.0,4,7,0,0,76,0,1196000,18,0,0.0,71-80,60M-70M,1M-1.5M,10-20
S2,Lajang,49389000.0,55,7,0,0,71,2,65000,6,0,0.0,71-80,40M-50M,0-0.5M,0-10
S3,Menikah,67353000.0,37,2,0,0,52,1,913000,28,0,0.0,51-60,60M-70M,0.5M-1M,20-30
D3,Menikah,23718000.0,76,7,0,0,46,1,81000,9,0,0.0,41-50,20M-30M,0-0.5M,0-10
S1,Janda,42429000.0,99,5,0,0,49,1,67000,7,0,0.0,41-50,40M-50M,0-0.5M,0-10
S3,Cerai,48948000.0,53,6,0,1,79,0,902000,24,1,0.16666666666666666,71-80,40M-50M,0.5M-1M,20-30
S1,Menikah,80011000.0,3,4,0,0,42,1,1395000,21,0,0.0,41-50,80M-90M,1M-1.5M,20-30
S2,Menikah,20559000.0,88,8,0,0,37,1,53000,7,0,0.0,31-40,20M-30M,0-0.5M,0-10
S1,Bertunangan,21994000.0,4,5,0,0,65,1,22000,4,0,0.0,61-70,20M-30M,0-0.5M,0-10
S3,Lajang,51381500.0,80,2,0,0,63,0,186000,9,0,0.0,61-70,50M-60M,0-0.5M,0-10
S2,Menikah,7500000.0,19,5,0,0,47,1,31000,8,0,0.0,41-50,0M-10M,0-0.5M,0-10
S1,Lajang,79941000.0,72,1,0,0,46,0,984000,16,0,0.0,41-50,70M-80M,0.5M-1M,10-20
D3,Menikah,7500000.0,24,9,0,1,26,0,122000,10,0,0.1111111111111111,20-30,0M-10M,0-0.5M,0-10
S1,Bertunangan,41728000.0,92,10,0,0,54,1,55000,5,0,0.0,51-60,40M-50M,0-0.5M,0-10
S1,Lajang,51381500.0,96,6,0,0,71,3,124000,10,0,0.0,71-80,50M-60M,0-0.5M,0-10
S3,Menikah,72550000.0,39,8,0,0,68,2,1319000,28,0,0.0,61-70,70M-80M,1M-1.5M,20-30
S1,Janda,65486000.0,29,2,0,0,65,1,507000,17,0,0.0,61-70,60M-70M,0.5M-1M,10-20
S2,Menikah,79143000.0,2,3,0,0,58,0,1693000,29,0,0.0,51-60,70M-80M,1.5M-2M,20-30
S1,Lajang,35790000.0,54,7,0,0,45,1,72000,7,0,0.0,41-50,30M-40M,0-0.5M,0-10
S1,Cerai,82582000.0,54,1,0,1,45,0,1617000,21,2,1.0,41-50,80M-90M,1.5M-2M,20-30
S1,Menikah,66373000.0,57,3,0,0,44,2,606000,23,0,0.0,41-50,60M-70M,0.5M-1M,20-30
S2,Bertunangan,82384000.0,55,1,0,1,67,0,1957000,27,1,1.0,61-70,80M-90M,1.5M-2M,20-30
S1,Cerai,70287000.0,30,3,0,1,56,0,1093000,21,0,0.3333333333333333,51-60,70M-80M,1M-1.5M,20-30
S1,Lajang,27938000.0,31,3,0,0,34,1,29000,6,0,0.0,31-40,20M-30M,0-0.5M,0-10
S1,Lajang,51381500.0,57,6,0,0,40,1,46000,7,0,0.0,31-40,50M-60M,0-0.5M,0-10
S3,Menikah,55954000.0,63,7,0,0,54,1,518000,19,0,0.0,51-60,50M-60M,0.5M-1M,10-20
S2,Lajang,75777000.0,12,1,0,1,40,0,1438000,21,2,1.0,31-40,70M-80M,1M-1.5M,20-30
S1,Bertunangan,66653000.0,18,3,0,0,47,2,612000,22,0,0.0,41-50,60M-70M,0.5M-1M,20-30
S1,Lajang,61823000.0,26,7,0,0,70,1,884000,24,0,0.0,61-70,60M-70M,0.5M-1M,20-30
S3,Janda,67680000.0,8,5,0,0,71,1,606000,19,0,0.0,71-80,60M-70M,0.5M-1M,10-20
S1,Bertunangan,70666000.0,29,4,0,0,74,0,1076000,16,0,0.0,71-80,70M-80M,1M-1.5M,10-20
S1,Menikah,25721000.0,75,7,0,1,51,1,34000,5,0,0.14285714285714285,51-60,20M-30M,0-0.5M,0-10
S1,Bertunangan,32474000.0,0,7,0,0,55,2,11000,4,0,0.0,51-60,30M-40M,0-0.5M,0-10
D3,Lajang,88194000.0,19,5,0,1,43,1,1274000,32,2,0.2,41-50,80M-90M,1M-1.5M,30-40
S1,Bertunangan,69096000.0,4,4,0,0,64,1,653000,18,0,0.0,61-70,60M-70M,0.5M-1M,10-20
S1,Bertunangan,74854000.0,90,5,0,0,52,3,1562000,19,0,0.0,51-60,70M-80M,1.5M-2M,10-20
S2,Menikah,66991000.0,1,3,0,0,68,0,1253000,21,0,0.0,61-70,60M-70M,1M-1.5M,20-30
D3,Menikah,51381500.0,25,8,0,0,49,1,109000,9,0,0.0,41-50,50M-60M,0-0.5M,0-10
S1,Menikah,65031000.0,29,7,0,0,63,1,863000,30,0,0.0,61-70,60M-70M,0.5M-1M,20-30
S3,Menikah,60631000.0,88,7,0,0,47,2,661000,24,1,0.0,41-50,60M-70M,0.5M-1M,20-30
S1,Menikah,28332000.0,58,2,0,0,70,0,65000,8,0,0.0,61-70,20M-30M,0-0.5M,0-10
S1,Cerai,40246000.0,68,6,0,0,45,1,13000,4,0,0.0,41-50,40M-50M,0-0.5M,0-10
S2,Menikah,75251000.0,34,5,0,1,50,0,1890000,19,0,0.2,41-50,70M-80M,1.5M-2M,10-20
S1,Lajang,75825000.0,40,4,0,1,46,0,2209000,22,1,0.25,41-50,70M-80M,2M-2.5M,20-30
D3,Bertunangan,26326000.0,12,3,1,0,46,0,18000,4,0,0.0,41-50,20M-30M,0-0.5M,0-10
S1,Bertunangan,56046000.0,9,8,0,1,57,0,692000,21,1,0.125,51-60,50M-60M,0.5M-1M,20-30
S1,Lajang,29760000.0,87,8,0,0,37,1,165000,12,0,0.0,31-40,20M-30M,0-0.5M,10-20
S1,Menikah,26304000.0,5,7,0,0,53,1,16000,4,0,0.0,51-60,20M-30M,0-0.5M,0-10
D3,Menikah,23559000.0,87,7,0,0,49,1,79000,9,0,0.0,41-50,20M-30M,0-0.5M,0-10
S1,Cerai,81361000.0,18,1,0,0,35,0,778000,27,0,0.0,31-40,80M-90M,0.5M-1M,20-30
S1,Menikah,29440000.0,95,7,0,0,62,2,56000,7,0,0.0,61-70,20M-30M,0-0.5M,0-10
S2,Menikah,36138000.0,48,7,0,0,52,2,151000,13,1,0.0,51-60,30M-40M,0-0.5M,10-20
S1,Lajang,50388000.0,3,7,0,1,65,1,372000,17,2,0.14285714285714285,61-70,50M-60M,0-0.5M,10-20
S1,Menikah,79593000.0,70,2,0,0,49,0,1366000,19,1,0.0,41-50,70M-80M,1M-1.5M,10-20
S1,Bertunangan,54178000.0,79,2,0,0,55,1,194000,10,0,0.0,51-60,50M-60M,0-0.5M,0-10
S3,Menikah,51381500.0,4,9,0,0,65,3,603000,29,0,0.0,61-70,50M-60M,0.5M-1M,20-30
S1,Lajang,51381500.0,45,7,0,0,65,2,18000,4,0,0.0,61-70,50M-60M,0-0.5M,0-10
S2,Bertunangan,51381500.0,87,1,0,0,49,0,985000,15,0,0.0,41-50,50M-60M,0.5M-1M,10-20
S2,Lajang,42394000.0,69,7,0,0,50,1,32000,5,0,0.0,41-50,40M-50M,0-0.5M,0-10
S3,Menikah,23626000.0,84,5,0,0,52,1,43000,10,0,0.0,51-60,20M-30M,0-0.5M,0-10
S1,Menikah,30096000.0,30,6,0,0,39,1,45000,6,0,0.0,31-40,30M-40M,0-0.5M,0-10
S1,Janda,47916000.0,72,6,0,0,62,1,606000,22,1,0.0,61-70,40M-50M,0.5M-1M,20-30
S1,Cerai,51813000.0,37,7,0,0,50,2,63000,7,0,0.0,41-50,50M-60M,0-0.5M,0-10
D3,Menikah,78497000.0,44,2,0,0,71,0,978000,25,1,0.0,71-80,70M-80M,0.5M-1M,20-30
S3,Menikah,50150000.0,32,5,0,0,39,0,410000,16,0,0.0,31-40,50M-60M,0-0.5M,10-20
D3,Lajang,47823000.0,0,8,0,0,62,1,72000,7,0,0.0,61-70,40M-50M,0-0.5M,0-10
S3,Lajang,34554000.0,43,6,0,0,63,1,55000,7,0,0.0,61-70,30M-40M,0-0.5M,0-10
S1,Bertunangan,85693000.0,59,5,0,0,43,1,1169000,27,0,0.0,41-50,80M-90M,1M-1.5M,20-30
